review_id,product,rating,date,text
1,EchoPhone X,5,2026-01-12,"The battery life is incredible and lasts me two full days. The screen is bright and crisp. Honestly the best phone I have owned."
2,EchoPhone X,2,2026-01-15,"Great camera and gorgeous display, but the battery drains way too fast and it gets hot while charging. Disappointed for the price."
3,EchoPhone X,4,2026-01-20,"Solid performance and the build quality feels premium. Delivery was quick too. Wish the speakers were louder though."
4,EchoPhone X,1,2026-02-02,"Customer service was terrible and took a week to reply. The phone itself is fine but the support experience ruined it for me."
5,EchoPhone X,3,2026-02-10,"Screen is beautiful but way too reflective outdoors. Battery is average. Price is a bit high for what you get."
6,EchoPhone X,5,2026-02-14,"Fast, smooth, and the camera takes stunning low light photos. Setup was easy and shipping arrived a day early."
7,NimbusBuds Pro,4,2026-01-05,"The sound quality is rich and the noise cancellation is excellent. Battery could be better but the case charges fast."
8,NimbusBuds Pro,2,2026-01-18,"Comfortable fit but they keep disconnecting during calls. The app is buggy and crashes on my phone."
9,NimbusBuds Pro,5,2026-01-25,"Amazing value for the price. Crisp audio, tight bass, and the battery easily lasts a full workday."
10,NimbusBuds Pro,3,2026-02-01,"Decent buds. The microphone quality on calls is poor but music playback sounds great. Delivery took longer than expected."
11,NimbusBuds Pro,1,2026-02-09,"One earbud stopped working after two weeks and the warranty process is a nightmare. Customer support ignored my emails."
12,AtlasWatch 2,4,2026-01-08,"Battery lasts a full week which is fantastic. The heart rate sensor is accurate. The strap feels cheap though."
13,AtlasWatch 2,5,2026-01-22,"Gorgeous display, snappy interface, and the fitness tracking is spot on. Worth every riyal."
14,AtlasWatch 2,2,2026-02-03,"The screen scratches far too easily and the software is laggy. Sleep tracking is wildly inaccurate."
15,AtlasWatch 2,3,2026-02-11,"Good watch overall. Battery is great and the app is clean, but the price is steep compared to competitors."
16,AtlasWatch 2,4,2026-02-16,"Shipping was fast and packaging was excellent. Comfortable to wear all day. GPS locks on quickly during runs."
17,EchoPhone X,2,2026-02-18,"The display is stunning but the battery is a dealbreaker. Also the price keeps going up while quality stays the same."
18,NimbusBuds Pro,4,2026-02-20,"Really good noise cancellation and the fit is secure for workouts. The touch controls are a little too sensitive."
